,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
401,0.51378906,2.6147342,-1.4654113,1.5494143,1.7587682,-0.68843985,5.0352793,-1.156065,1.3449494,-1.6713244,-2.4480484,6.6253986,8.652736,-2.5793128,2.7274709,0.6501853,-2.1151419,-2.6381714,-2.5034869,1.6508268,-1.212249,-8.081688,2.296821,1.4460814,-2.5850677,3.775732,0.44183347,1.016886,-3.2001793,1.1347713,0.2038874,-5.0563602,1.5789965,1.1004034,4.241847,-1.1212664,-4.0204887,2.8086479,3.2828546,-3.3684967,-2.4719303,0.52179956,1.7902178,1.9754046,7.0634093,-0.22413874,3.6415155,-3.466459,0.92931813,-7.5055995,-4.9550967,-1.9403366,2.1007793,2.3604798,0.43037754,2.0805197,1.9294418,4.7063146,4.5772734,-1.5373995,-3.5741844,4.3395414,3.4721446,4.4641967,-1.8712734,0.58961195,2.3098247,5.9696097,4.426739,-0.5528877,-2.868249,-3.6905348,3.7772787,2.783861,-2.4345653,5.1765594,-5.749391,5.09031,-4.125617,0.62003875,-1.0038851,-0.13443509,-1.8943429,-1.5426556,1.091525,-2.9384062,0.73198736,-0.63107246,3.807855,0.89463526,5.8559523,1.1710228,-2.0538356,3.598603,1.3498183,4.5054383,1.3158479,2.839012,-0.9747707,-1.4845101,-0.14270627,-1.3075398,0.45985648,1.2981734,-6.4495764,-6.1914177,-4.1886735,-5.035579,2.918777,-0.48218948,-0.23690835,-0.85797846,-4.9070845,-6.2684913,-3.0237448,-8.065125,-5.2650814,-1.3904368,3.6115792,3.2823675,-0.19285172,4.152967,2.050985,-4.8300896,-2.1323953,-0.057358377,3.4074724,0.17760074,-2.7139015,-4.866639,3.995164,-0.06176596,-1.1180727,0.646788,1.1149291,8.50819,-3.1068208,3.0255878,-1.6120547,-0.38905916,-0.95808196,-4.2391977,4.1609526,-0.55353755,0.101587445,-2.7787588,-2.370628,-0.3747543,-1.8981721,-5.0763206,3.7506347,-0.8435047,-3.4632835,-3.3478997,1.0884581,-1.2269536,-4.2348266,0.9786583,5.0446577,0.80011344,-0.9307253,-0.3423878,1.0303234,3.144914,2.6353302,-7.0739427,-0.433776,0.93790084,3.187473,3.8002012,2.3761609,-0.2788248,0.92154557,-2.6025782,4.328557,1.2537954,-2.0400956,1.6812991,-0.40700817,-0.4229071,6.7230754,1.573057,-1.4727982,2.7151153,0.2510552,-3.0935752,3.4487371,5.791216,-0.15765329,1.4271767,2.6982248,-1.3569412,1.9788027,-4.0921082,-4.502987,2.8346584,-4.381038,-0.33548003,-4.2244797,-3.603872
250,-3.0203638,3.6737058,-0.9069094,-2.797625,-0.7724687,2.772649,-3.6576338,-5.0026827,-0.3743783,-1.9273809,-1.5219055,0.8934304,0.9094302,3.3054001,2.8520906,1.1463388,-8.470159,0.9671575,2.144646,5.367653,-3.9557998,0.61021835,-1.102844,1.600185,1.726233,-0.85738856,-2.639589,-1.4383202,-6.5133963,7.0632567,-2.1024177,-1.2925539,1.6645198,-3.204449,5.159516,-0.49644715,-1.171292,1.5003525,5.042966,5.9980583,-1.1107603,2.8175762,-0.6780903,-3.0090616,1.2495438,-2.3205523,1.3537539,2.414013,-7.040385,1.7492971,3.1614685,0.1791263,4.1413016,1.5293415,-0.025153713,1.0512242,-1.502262,-0.015107126,-1.8344395,-2.247928,1.8936394,-1.4264313,1.0565029,-3.3572671,-2.3475654,-1.2812916,0.48594978,3.008968,2.8356478,1.2278367,-2.8983126,-1.6089966,-1.624485,-2.053818,5.129582,-1.4814781,0.34855488,0.13356021,-4.306059,-3.7619154,2.1182954,-2.6065383,-3.309948,-1.2909211,-5.047283,-1.1655357,1.1409256,3.8509555,-0.14365296,-0.43750218,4.7003436,-1.1893557,0.39391294,-3.4898822,-3.0626569,-4.963093,1.4532772,-0.49391505,2.2327075,-0.84551036,0.93317974,0.29125482,-1.8858802,2.0100834,1.0275216,3.4936872,0.56792676,3.5302289,0.9789139,-0.50165206,0.026616277,-1.3128778,-2.0225196,0.8434267,-1.1396056,1.1379576,-0.6521235,-1.672346,-0.7718795,-2.1097548,1.6518029,-1.232157,2.4281335,0.6689708,1.4465523,-2.853291,4.523724,6.468031,3.7406893,-5.2556868,-2.1390047,-0.9700467,-9.55459,0.10996278,5.9943967,-2.1141598,-2.4604492,2.0313175,1.3052003,-4.122304,-0.42051482,0.71343887,0.3743334,-1.2119393,2.3494272,1.9225546,-0.5009431,-3.885695,2.1874597,-1.8467008,-3.6031356,-0.86000866,-0.503554,5.682736,-4.9934087,-0.49233347,5.124107,2.044143,7.4004455,-5.4945292,2.7656724,-2.1430166,-2.7028337,1.7002981,2.1857684,-1.4144727,1.545665,1.8857467,4.610496,-4.113843,2.698911,-4.500386,0.43891037,3.078741,4.1004477,-2.5241477,-2.0781064,1.087137,3.2424483,7.520312,0.6128217,3.9041283,0.09570879,6.215987,1.7255527,-3.0449002,-4.375829,-1.8480289,4.457066,-1.3393267,4.807505,2.1203191,-1.7813798,-0.58634967,0.63496774,5.027119,3.6383212,-0.52771145,0.9624435,1.1935306
300,3.391235,-1.5452473,-2.8175423,3.4461606,-4.0516367,2.2352357,3.1801116,-1.4063716,-0.00105708,1.7993413,2.269936,-3.670509,-0.74860984,-4.4806333,0.030570006,4.649845,-0.8285852,-4.5834737,-1.8095324,3.4819345,-0.14383492,6.031184,-0.32926586,0.21433003,-4.957957,-0.83135957,-0.9499169,-1.0918733,-0.64154994,0.4743693,4.292535,4.0679407,0.68088746,0.16180645,2.2692602,-1.2768549,-3.4254994,-3.0793257,4.697572,2.577566,8.236816,-2.2070172,2.5067048,1.1450042,1.8192717,1.470044,4.8550553,-2.3288705,1.8972248,3.1305068,3.7062013,-4.338745,-0.8926077,-3.5653288,-3.9709775,-1.1211073,-0.9459563,-4.8532495,1.8080305,3.9292586,2.4221234,-3.9585667,-1.0597277,0.04461899,-1.4659097,-6.1680603,1.4558749,2.2300038,-5.9286275,3.188137,4.9402876,3.783976,-3.9208403,-4.382459,-4.4905276,3.2262158,-3.9293258,-2.327932,-0.60994,-6.145582,0.8900692,-1.2888869,1.1119323,-3.194119,-0.5750144,1.5088875,-3.2528467,-0.076815926,-3.75473,2.1929648,0.2680551,2.3410192,1.5283891,1.3327821,-3.416402,-0.31825748,-0.37160665,1.4289619,-6.5152087,0.16520894,-4.078529,-1.8607785,3.544125,3.279096,-2.8210793,-1.8314712,3.8822954,-1.0661696,-2.1982937,-2.9725344,2.6848564,1.6973399,2.8787847,-1.5028867,-2.8371694,4.568926,0.64785624,3.3021526,2.732419,3.0970469,-3.103566,1.327456,-3.8645058,-1.1378311,-1.9965713,-3.47215,1.6284022,1.9264219,-2.3858452,0.120577104,0.40609753,-2.4546652,3.8702784,-2.4544983,-1.6160086,-4.786313,-2.582379,1.2120371,-1.5966238,-5.2861586,0.74030674,-3.9057784,-1.6540563,-0.35354328,3.3886988,0.45475736,0.83508414,0.032858804,0.17502481,-5.3233333,2.64485,0.22361442,3.3973672,-0.60322964,0.35282102,-2.0826094,-4.3845553,-2.158671,-7.230826,2.975925,2.048255,-0.20323579,-2.0941846,2.116379,-3.9597578,3.5460284,-0.18439023,2.8229525,-1.4419813,-4.537272,5.1214385,0.122205526,-1.8796327,-2.1192563,-0.12169194,5.0011783,-2.0882761,0.8093089,-4.417847,-0.03812487,0.63733476,-0.81385154,0.9330833,-1.7141918,-2.5078154,-0.5111542,0.054598067,-1.0772686,-1.4188448,-2.5688133,-2.213307,-4.2306232,1.0442826,-1.497562,-5.7564893,-0.43065158,-2.3800938,-0.24375772,-1.8800575,-2.2015758
411,1.2170593,1.4275362,-1.0951844,0.047058597,-0.33566514,1.8669934,-0.8023768,5.51025,3.6723053,-3.4413252,-4.181898,-3.0659857,1.7272546,0.790558,-5.959697,0.42548692,1.3506861,5.4298415,-1.9316328,-4.0224977,-1.5945264,0.3004746,-3.1037312,0.29901284,1.8559834,1.3545538,4.084568,0.08881486,3.4731255,0.41198274,1.5272945,1.6664422,0.2149699,0.6344458,-0.5603119,-0.8249255,-3.9081278,1.1762818,1.6293632,1.6577468,-2.8369381,6.0999393,1.9619129,3.174159,0.33652344,-1.9278493,-3.2783287,-6.5982413,-0.19742486,3.1964784,1.7933736,-0.36404932,-1.5174327,-4.6711593,1.2602876,-1.1653377,-3.826975,0.024966238,4.259674,1.5204188,0.6758076,5.968693,2.9144542,-2.3366258,3.679208,0.9596927,2.8169055,-3.7169971,1.7831901,1.0463858,-2.3534102,-5.7370324,4.0006585,-1.3413178,-5.000794,4.9789896,1.2363926,1.3065301,-2.700618,-2.0995274,-3.8305156,-2.1971183,-0.8486125,-2.718137,-3.4502907,-4.4958344,-1.1101842,1.4176258,2.2490816,0.4404425,2.4048698,0.3677686,-4.669401,-3.3169649,-0.064355016,-2.0525208,-3.499669,0.63034564,2.139805,-0.37813795,1.4761744,0.7075022,2.95014,-0.09695156,0.8151275,-0.62876797,-2.030468,-2.656103,7.2691584,2.8323898,-1.8201847,2.3750982,2.7604563,3.7373114,2.4399316,-0.078232475,0.48614517,-1.5713166,0.18364227,1.2954351,1.0716033,4.9190583,1.5863869,-3.5219128,3.635193,-0.24625805,-0.07383982,-3.759913,-0.5190697,-0.039295096,-2.8105671,-1.9373479,-5.7684236,0.5944308,6.672262,-4.6776752,0.7406593,-4.2318044,-0.4053326,0.7576214,2.9833102,0.79068583,-3.7096431,-1.1388955,2.0026243,3.417632,1.1460387,-4.2769966,-1.2696304,4.7586846,-3.31819,-6.9576364,-1.1726915,-4.1234994,-2.121421,2.4766693,-0.7662624,-1.6189631,5.4167614,-2.3532379,3.3830926,-1.87358,0.9979128,2.2268038,-5.41794,3.4570045,-1.8717406,2.6441832,1.6594456,-3.4863725,-0.7462729,0.86675066,-2.9720843,-2.4606652,2.6317887,-4.561775,-3.4311662,3.354179,-1.3334494,0.79539424,-0.83315384,2.7474086,-1.9939202,-0.59153295,2.6947849,-8.485621,0.27354723,-1.3684216,-3.3267071,1.3443199,-2.9218297,-0.9654211,1.4352862,2.0796888,0.98271567,5.5573707,-0.008331653,-0.5447557,2.2948542,-1.3342245
579,-1.5047255,1.0100657,-1.7473946,0.99617213,4.1684647,-2.1097345,1.4842137,-8.17891,-0.17450511,0.045160357,0.039019115,-7.28759,-1.7081046,0.48200068,-3.2566714,1.1523411,8.369428,-2.7425067,-2.3241591,5.630693,-0.43320066,0.3575138,-1.6496717,0.27378854,1.832812,4.1187744,-1.0468199,7.1511073,3.445678,-0.17765144,-4.5814924,1.9496511,1.1998719,-0.039348394,-1.8883078,3.0480454,-2.663313,-3.3961236,-2.120114,-3.489258,-0.06833928,1.0625913,2.7806218,-3.4361029,-1.7502861,2.4981434,2.1484544,2.759872,-0.6140948,4.8451715,-0.6847941,3.1841185,2.2761195,-2.4507113,-3.0587304,4.613424,-0.16766979,-1.5287384,0.6636245,6.783031,3.1309414,0.29530805,-1.1135299,2.7159529,3.180567,4.71178,-0.40418997,1.6080827,-2.6863697,3.2316113,3.7438693,2.4154327,-2.495303,0.40072954,1.2823247,-5.6522226,-1.6060421,2.804829,-1.4377724,4.2494993,-3.362366,-1.0577894,-4.184889,1.3512847,-0.32989562,0.813403,2.3404956,-1.3906759,-0.622527,3.131073,-1.1611651,-2.5636215,5.1604285,0.28601936,-0.15360473,1.680859,1.3561283,-1.1622496,2.292805,0.4947299,2.343409,-7.33044,-6.5346417,-0.6442925,-2.236285,-1.14027,0.0073111993,-4.7329884,-1.3945599,0.71775544,0.6778286,2.5167305,1.2604737,-1.6081898,4.855996,0.5153595,-0.95146537,-4.4342103,-6.512572,2.8213499,4.343843,-0.04789089,-2.9812012,-1.3922756,-0.044879004,0.48591003,-3.1473644,-2.1130464,1.7481359,-2.1513786,-2.504538,-2.3385322,-3.297387,-1.8532027,1.8626156,0.6107345,0.038777307,-1.6920043,4.6474147,-2.8852828,-1.5274924,1.6059977,-3.3860137,2.2034807,3.7196434,0.17556237,-4.6939297,5.312375,-3.3376753,1.0826527,0.12392321,-0.8927486,7.9499936,5.6928277,-2.0617795,2.3343124,0.84826815,1.2528708,1.8281622,1.7817123,-0.50416327,2.8996305,-0.037945937,-0.46610844,-4.680999,0.014423996,0.18417934,-3.965587,0.60603553,-1.0200825,-0.6595929,0.5354349,1.7045773,0.39146745,-10.150179,-1.2802643,0.7578439,-6.219962,-2.8922732,-2.4376736,3.3378723,-0.6241273,0.17313121,0.68556166,-0.9318062,0.30630308,0.22384857,1.0413785,1.7890798,3.8344114,2.2006817,-3.2285867,4.484287,-1.2041624,1.1746134,-1.0685197,-0.08977811,-1.8196818,-3.5702834,4.198593
427,-1.2644777,-2.3046238,-1.643883,-2.5178468,1.3766503,-4.9817643,0.1291709,2.1539555,2.8324285,-3.6313825,-2.4924932,2.3160617,3.175489,-0.2409115,2.0670002,-0.5087467,-3.3570113,1.03983,1.3021089,-5.191973,1.7918432,4.0136323,3.4715464,-0.042126924,0.20573157,0.23700216,0.7300267,6.481729,0.6432924,3.3575697,-0.7118311,3.729619,0.15768644,-0.00433731,3.9892542,1.2684883,1.6316099,-1.4034758,1.0776893,-0.8674796,4.2500224,0.8885123,-2.7227852,0.63765436,-0.9457116,-4.383753,1.5204087,-5.8516407,2.6426916,0.38574716,-1.7712743,-4.4832764,1.2640226,0.45655453,-0.49764004,3.351045,-0.49168256,-4.2605324,-0.46601257,0.4565683,-2.0230844,-1.4931431,1.7411165,0.67481506,-1.2470337,-1.4236557,1.7153683,-2.1878555,1.8317279,-2.383368,3.479288,-0.5821429,2.969579,4.2096004,-3.5579016,3.7537704,0.26830631,-1.6576166,-0.6503844,3.4995387,0.87372106,4.1279836,-1.5627193,-3.24686,-0.41727847,-3.063843,-0.2404086,-2.9608474,4.7241025,1.5431479,2.39483,-1.0819657,-2.0168962,-1.6333116,2.0224192,1.4609656,0.40370998,0.46286687,4.066527,3.3228514,1.2560623,-0.17576239,1.2998561,-0.051497635,4.5137677,-2.233721,0.25770628,-2.6928918,2.2200642,0.6480156,2.0294378,0.16105565,2.3484457,2.729585,0.15265435,-0.025511803,-1.8358736,-1.0892501,2.8138885,0.7991574,1.5672375,0.8448359,1.3975319,-1.463462,1.4774117,0.3863135,0.7020265,-0.39291215,3.2790363,2.0892823,-1.1888858,2.6109474,-3.2071269,-1.5429986,4.966914,-6.056621,-0.16938287,-1.1120892,2.331765,0.7930962,0.46136305,1.251502,-2.6902995,-0.99719775,-2.5526822,3.3856807,-0.5158267,-1.3990723,2.2146199,3.9934044,0.21799207,3.1434574,-1.316048,-0.28395718,-1.143105,-3.0123827,-2.2526457,-0.60020113,2.3898406,-2.1798747,-0.8724493,2.6088204,-2.3268735,-1.3910898,2.7005181,0.18435617,-2.170014,0.7125628,1.052227,0.1935852,-3.1679246,-1.0577658,-3.8397586,-3.149818,-0.63906676,-0.6434053,0.5815951,-1.7986592,1.049999,-1.6034849,-0.49848324,-2.642098,-0.93223786,1.5152134,-1.4844091,2.5475368,2.208749,5.024714,0.7878842,-2.5685573,-0.90456736,1.700273,-0.19172074,1.0192293,-1.9019775,-1.1320027,3.583203,-3.735821,0.7676257,1.7558721
519,-0.707427,1.5254724,0.24445188,-1.9742103,-3.0931513,-3.813841,-0.011025099,0.2863556,1.5827324,0.43984956,-1.861801,4.7387404,-3.948383,-3.1127746,-6.9171596,0.2184607,3.2190275,2.0483248,3.2108464,0.10241551,2.8125186,1.6186391,-0.27304587,0.62980425,0.73656315,0.038822185,-0.84549046,0.82884777,4.012797,-0.54819524,2.3735795,5.2162595,-2.5678203,0.6409196,3.5216231,5.052558,3.0061648,-4.567944,-2.6877513,-1.1725147,3.3372798,0.47325858,-4.0096583,0.06651188,-0.04093278,2.2382963,-2.2519119,-3.2583349,0.78836894,-3.0532966,1.472462,2.733223,-3.0616004,2.5498438,2.9593532,4.958726,-0.018126547,-0.6117924,0.17209284,-0.761946,-2.7478683,2.5793688,-0.9282783,1.1701252,0.8926928,0.13826725,-4.8217,0.14601177,0.3122845,1.187497,-0.2772944,-2.338853,-0.2413496,-2.3903837,-1.5119437,2.667454,4.002767,-0.7632775,0.82072705,-0.015802598,-0.07940476,-0.2444507,-3.228393,-0.55804765,-0.8181153,3.2720802,0.9819989,-3.2866356,2.8889146,0.26397648,0.9397849,-0.7944748,-1.2076079,2.909165,0.8395492,2.3188605,-4.2294054,5.7179294,3.5089676,2.0481858,-1.5171833,0.028811809,-0.041479576,2.9776256,-1.9387527,2.3872528,3.214194,1.641862,1.7798108,0.9170977,3.2602246,1.0815548,2.5156734,3.2198892,1.7567701,2.1091907,1.8386323,-1.6243826,-2.5112712,5.3348093,3.1257522,2.8975258,1.1445838,-0.7462336,-1.3696574,2.3798168,2.415937,-1.3041583,0.467773,-3.044346,-2.919084,-1.1989917,-1.4258643,-1.9717059,1.8633292,-0.91327804,-2.8282824,0.69296217,-0.87896985,4.4433255,-0.38709003,1.5575752,-0.65898824,2.1466858,-2.9353037,0.22265399,0.5435508,0.16487423,1.6303558,-2.7437205,2.1102474,-1.0579772,0.10206061,0.0763656,4.1743083,-0.19692229,8.107468,-1.8200207,-3.1651769,-2.2226799,0.0009852215,-2.3623388,-1.1954101,2.9396305,2.868195,-1.5378743,-2.8069131,0.47834486,2.707594,0.6793902,2.707104,-5.649066,6.734697,1.0188209,2.9866474,-2.5250993,-4.9002166,0.30677032,4.5291204,0.8440396,-7.380476,1.2328138,-1.398241,-0.26051688,-2.5490103,-4.823209,-2.4542646,0.33719084,3.2584374,2.5983844,-3.5636992,0.275931,-1.314499,-0.64933145,-1.8753552,3.0421793,2.7700346,-1.9061599,-0.95210886,-0.5124214
295,0.89490634,0.49470174,-0.17430744,1.1098793,-1.6614404,-0.98733974,-2.033507,-0.2206993,1.2665148,-0.47584724,2.786804,-0.47552997,0.44020754,0.9558361,0.0451143,-1.3616776,0.67178667,-0.6163784,0.45123702,1.4420748,0.35425007,0.14828555,-0.2973929,-0.4350361,-0.37258875,0.15368862,-1.1420738,-1.0741966,-0.5311619,1.6547331,0.051386703,-1.8952209,-0.1738904,2.6222372,-0.032554988,1.1867411,-1.5624062,-0.054367784,1.6972339,1.2150352,0.7841107,-0.4759465,-0.16807768,1.9957798,-0.34754002,0.57742083,-0.29567772,-0.005524399,0.341948,1.2249323,0.091724806,-1.5910604,-0.24411117,0.95667255,1.1929014,2.0039866,0.6026549,-0.9345924,-1.2979118,0.25062186,1.1387511,-2.5563407,0.12445914,2.045672,-0.64144075,0.10413612,1.3086791,0.44495544,0.27841303,0.4738068,-1.2898744,1.1023675,1.4458407,-1.659069,-1.0608819,0.50695753,1.6019754,-0.8560913,1.8687174,-2.3591046,0.67548233,-0.82437474,1.5891247,-1.2244827,-3.018362,2.0822785,-3.3878925,1.0178756,-1.5375438,0.69887847,-1.1764501,0.1893204,3.4407377,0.9709798,-0.71847796,-0.12282604,-2.198246,-2.7882016,-0.4298885,-0.46928838,-2.0670242,0.850536,-0.13536686,0.035542604,0.5784468,0.26627713,0.46854505,-1.2321035,-1.5913929,-0.88937956,1.7070354,0.5859967,-0.03674235,0.5765015,-0.21297391,1.2558645,-0.7295741,1.8415123,2.484775,0.42450428,-1.0789245,2.3245568,0.16570865,0.32276487,-0.7876756,-1.4841756,2.1386812,0.6672785,-0.6588082,2.8226001,0.262757,-2.2088704,0.6694577,-1.9360253,-1.1066692,-0.5598379,-1.6691813,0.4606801,1.2783614,-3.7532318,-1.0806262,2.2297986,-1.2200708,1.1424131,0.64392865,-0.46348864,-0.8227789,0.093918346,0.58323586,-0.09101554,0.75470924,0.9032969,2.767061,1.3617213,-0.02335132,-0.33577698,-2.0905404,0.8667894,-2.3902378,0.77473736,0.5560303,-1.3045359,0.8664017,-0.8051462,-0.54003465,0.3489089,1.0943286,0.37520143,-1.563878,0.56931317,2.064579,-0.77577674,-0.72365886,0.6125788,1.4686447,0.9422223,-1.474475,0.20777576,1.9596801,1.5615199,-1.2327622,-1.8996897,2.1201348,0.36301407,0.73577046,-0.114392325,-0.1443049,0.115719624,-0.30942312,-0.24902661,-1.0433624,0.71213037,-0.008829669,-0.6891759,1.0032644,0.8932169,0.9495854,0.07472956,-0.7398164,-0.0557781
760,-1.2401475,0.26520297,0.3736975,1.0692868,2.1491137,1.5169146,4.3996024,-0.9104625,1.0717757,1.5673124,-2.546928,-0.34621242,-3.4478548,-1.1812704,-1.4665918,3.381348,0.54377896,1.7259395,3.06473,-0.6128262,-1.2522221,-0.7360217,-2.1758301,5.399877,-1.658365,-0.7086543,-0.51158994,-0.47541553,1.3132683,1.3298144,3.2413867,0.62389225,-3.601641,-2.577626,3.9551272,-1.3407753,4.2491884,-3.7565124,-3.1824214,-5.8837943,-2.392215,2.6148283,-0.14722562,-4.2728424,-0.71301454,-2.0397763,-3.8352387,-0.6071276,0.06425818,-0.87053686,-1.1679254,-5.83643,2.8936524,-1.0119091,-2.662101,-0.1625384,-5.909537,-0.30912042,-0.9971928,3.1910005,-0.34031639,-0.8867566,1.4582837,2.8236458,-1.1114001,0.79165787,3.3775792,-2.417719,0.36942407,-0.33063093,-3.8634682,0.40188503,-2.4419327,0.19908334,-0.8728916,-5.070095,-2.419336,0.3272827,-2.3970106,1.3930076,2.5779972,1.6592504,2.5684469,1.2312212,-0.92481184,1.5447156,1.3800498,1.3011171,-2.0891647,-0.6931541,1.0866047,-0.32887512,0.75529265,3.79089,-2.3655398,-3.4521415,1.6376923,-3.5894568,-1.1640339,2.561121,-0.13200228,2.2070582,0.17244042,-2.1763365,-2.3195913,0.47902083,-0.36093313,2.3231504,-1.5712498,-0.7731243,2.5131483,-1.8633498,3.9176075,-0.4618311,-0.08238325,-1.9404925,1.7341064,-3.2566106,-0.43394786,-2.15435,-0.33648208,-3.5630016,0.9663996,-2.36173,1.0474721,-2.239014,-1.5795145,-1.9980761,0.8705082,-1.7775542,2.791119,-5.5914445,-1.0228394,-0.984546,-2.6105013,3.589417,2.5100331,-4.1572757,2.8162327,3.1914163,-1.2070442,-2.3832345,-3.8230634,-0.12883182,-2.3862913,0.51456386,-0.3324042,0.6737984,2.16053,-0.33469892,-0.17054693,2.5840652,-0.9380808,-1.111272,1.4172509,0.89876115,-5.382647,-0.19905737,3.949135,-2.5821848,1.9209125,-1.2773088,0.12708393,-1.5413438,1.776166,1.6410327,1.8489363,-2.4752815,-1.678396,-5.8343263,2.3189783,-2.4068508,2.1516972,2.9484913,0.41463077,3.1750655,-1.8689378,-2.6879492,1.4606369,0.6876853,0.80058587,-1.6322093,-1.3656049,-3.8047538,-0.5847504,2.518343,-0.026031218,-0.9014068,-2.4395735,0.89875495,-0.16857752,-0.79082227,4.176847,2.0413597,-1.0797735,-1.2063109,-3.4234452,3.9765842,0.09917277,-6.8736076
465,0.038117554,-2.88697,0.6209797,-0.27515003,0.411485,4.660847,-0.79553527,-2.9454188,-1.3357111,-1.8241467,0.69902223,-4.662928,-4.4488997,-2.0254762,-1.1620178,1.8743961,1.4073523,1.490092,1.332329,1.0386031,0.97839826,-2.2057822,-1.6247807,2.7882314,1.3737688,0.13574444,1.1003622,3.9741492,2.4474301,-3.3809154,0.3819261,-1.173585,-0.5276614,2.547452,2.5902135,-0.91229016,-0.22364211,3.4725454,-0.27197528,-0.408488,4.755344,-1.4281809,-1.2830291,-0.7501982,-0.54004836,3.56442,-1.1583952,2.9444332,-0.3574882,-1.1974226,1.4627571,0.4849934,0.095912896,3.1961,-1.1738591,-1.9726135,4.1647353,0.88715464,2.9230726,0.5875308,-0.23917086,0.9415983,-3.22919,-0.729698,-0.7489547,0.7418538,0.809192,-1.6447407,-3.488749,-2.6069624,0.5112199,-2.356729,-1.3370765,-0.18154226,-1.133298,1.7522604,1.0354658,-0.8319226,0.2542095,-0.5770689,-1.3497624,-3.4405396,3.7402062,4.0448923,2.955956,0.19731319,2.2763655,2.6048687,-2.0204477,-0.9826779,1.5974561,-0.3552586,-0.2616215,-1.3891866,-4.8721294,-2.3560748,-0.33438277,2.1471603,-2.9177754,-3.90727,0.53791934,2.8295047,-2.700026,1.8453563,0.43741685,-3.182676,-2.4323986,-0.19702524,-3.964834,2.1113214,-0.0052194647,1.0804008,0.9142252,-0.1162179,4.126258,0.3999009,1.5508255,3.5860684,2.8411753,0.38570437,-0.09293293,0.08280918,-0.08318431,-2.3597472,-3.398523,-1.2748015,-2.8687873,3.5009525,-1.3916949,-0.63763785,2.4689782,4.7568836,1.2296301,0.42295274,-1.0117774,2.708153,3.356085,3.779684,-0.2991444,3.8666012,-0.12270323,1.3753282,2.4343367,-2.897906,-2.693851,0.44744536,-2.2247097,-0.37061337,2.3228588,-0.75250727,-2.233553,3.0934057,0.13839628,-3.154474,0.07503452,0.08122553,2.6890523,-0.08450616,0.7817071,-0.41450703,-2.6091237,4.181573,-0.20007707,-1.5912863,1.1600559,-0.39942536,0.021326447,0.676316,-1.5146862,-2.7763305,-1.8941396,-0.13200566,-2.788252,2.1634758,-3.7841735,-0.9666627,5.562471,-1.8173293,-2.3877246,3.642629,2.0696237,0.8596508,-0.9538757,-0.03911809,3.0208473,-0.86695886,3.2825396,-0.030285154,0.8875483,3.8976557,2.4629414,-4.3732133,1.1746572,-1.8821096,-0.46593264,-4.933365,1.5365757,-0.6722277,1.6421081,-0.89908814
